model,model_label,condition,examples,accuracy,macro_f1
logistic_regression,Logistic Regression,low_snr,2200.0,0.0909090909090909,0.0151515151515151
logistic_regression,Logistic Regression,narrowband_jam,2200.0,0.0909090909090909,0.0151515151515151
logistic_regression,Logistic Regression,broadband_jam,2200.0,0.0909090909090909,0.0151515151515151
logistic_regression,Logistic Regression,frequency_offset,2200.0,0.0909090909090909,0.0151515151515151
logistic_regression,Logistic Regression,multipath,2200.0,0.0909090909090909,0.0151515151515151
logistic_regression,Logistic Regression,impulsive_noise,2200.0,0.0890909090909091,0.0187432587841168
random_forest,Random Forest,low_snr,2200.0,0.1272727272727272,0.0865528247027217
random_forest,Random Forest,narrowband_jam,2200.0,0.0909090909090909,0.0151515151515151
random_forest,Random Forest,broadband_jam,2200.0,0.1445454545454545,0.1032493976182974
random_forest,Random Forest,frequency_offset,2200.0,0.0986363636363636,0.0538025820742531
random_forest,Random Forest,multipath,2200.0,0.155,0.1011163985302166
random_forest,Random Forest,impulsive_noise,2200.0,0.0981818181818181,0.063477663400529
rbf_svm,RBF-SVM,low_snr,2200.0,0.0909090909090909,0.0151515151515151
rbf_svm,RBF-SVM,narrowband_jam,2200.0,0.0909090909090909,0.0151515151515151
rbf_svm,RBF-SVM,broadband_jam,2200.0,0.0909090909090909,0.0151515151515151
rbf_svm,RBF-SVM,frequency_offset,2200.0,0.0909090909090909,0.0151515151515151
rbf_svm,RBF-SVM,multipath,2200.0,0.0909090909090909,0.0151515151515151
rbf_svm,RBF-SVM,impulsive_noise,2200.0,0.0909090909090909,0.0151515151515151
iq_cnn,Raw-IQ CNN,low_snr,2200.0,0.094090909090909,0.0214806052320646
iq_cnn,Raw-IQ CNN,narrowband_jam,2200.0,0.0886363636363636,0.0235238062856788
iq_cnn,Raw-IQ CNN,broadband_jam,2200.0,0.1727272727272727,0.1202894901945133
iq_cnn,Raw-IQ CNN,frequency_offset,2200.0,0.0922727272727272,0.0290064343069295
iq_cnn,Raw-IQ CNN,multipath,2200.0,0.1281818181818181,0.0433265430221951
iq_cnn,Raw-IQ CNN,impulsive_noise,2200.0,0.0922727272727272,0.0206952674255418
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,low_snr,330.0,0.0787878787878787,0.0468601277479316
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,narrowband_jam,330.0,0.1,0.0660449637638227
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,broadband_jam,330.0,0.0969696969696969,0.0674115539478025
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,frequency_offset,330.0,0.0757575757575757,0.041888665447926
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,multipath,330.0,0.0909090909090909,0.0616556762791811
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,impulsive_noise,330.0,0.0848484848484848,0.0581935202205267
